File,
429_CLpolished.001,-0.0001893065,0.05225066
429_CLpolished.001,0.01385554,0.5516204
429_CLpolished.001,0.02304257,1.050582
429_CLpolished.001,0.03079375,1.548546
429_CLpolished.001,0.0381729,2.048974
429_CLpolished.001,0.04499954,2.547347
429_CLpolished.001,0.05115176,3.046602
429_CLpolished.001,0.0570473,3.546326
429_CLpolished.001,0.06275789,4.044876
429_CLpolished.001,0.06843805,4.54507
429_CLpolished.001,0.07382228,5.042799
429_CLpolished.001,0.0791892,5.542874
429_CLpolished.001,0.08452338,6.039311
429_CLpolished.001,0.08936816,6.538448
429_CLpolished.001,0.09445222,7.037056
429_CLpolished.001,0.09904896,7.535372
429_CLpolished.001,0.1036741,8.03539
429_CLpolished.001,0.1086668,8.533587
429_CLpolished.001,0.1130373,9.032313
429_CLpolished.001,0.117336,9.533387
429_CLpolished.001,0.1216782,10.03176
429_CLpolished.001,0.1255918,10.53037
429_CLpolished.001,0.1295469,11.03021
429_CLpolished.001,0.1333061,11.52817
429_CLpolished.001,0.1370022,12.02766
429_CLpolished.001,0.1408528,12.52475
429_CLpolished.001,0.1442683,13.02353
429_CLpolished.001,0.1478317,13.52161
429_CLpolished.001,0.1514256,14.02263
429_CLpolished.001,0.1545843,14.52071
429_CLpolished.001,0.1579737,15.01885
429_CLpolished.001,0.1610563,15.51728
429_CLpolished.001,0.1640324,16.01788
429_CLpolished.001,0.1673283,16.51831
429_CLpolished.001,0.1704827,17.01534
429_CLpolished.001,0.173909,17.51571
429_CLpolished.001,0.1772026,18.01385
429_CLpolished.001,0.1801569,18.51251
429_CLpolished.001,0.1833027,19.01159
429_CLpolished.001,0.1861808,19.50961
429_CLpolished.001,0.1888436,20.00822
429_CLpolished.001,0.1895572,20.0084
429_CLpolished.001,0.1899835,20.00722
429_CLpolished.001,0.1901184,20.0074
429_CLpolished.001,0.1902468,20.00764
429_CLpolished.001,0.1904186,20.00787
429_CLpolished.001,0.1879081,19.51713
429_CLpolished.001,0.1857523,19.03003
429_CLpolished.001,0.1835768,18.54257
429_CLpolished.001,0.1813687,18.05342
429_CLpolished.001,0.1792128,17.56138
429_CLpolished.001,0.1769568,17.07528
429_CLpolished.001,0.1748771,16.58612
429_CLpolished.001,0.1728148,16.09644
429_CLpolished.001,0.1707589,15.60669
429_CLpolished.001,0.1685269,15.11818
429_CLpolished.001,0.1662753,14.62926
429_CLpolished.001,0.1638823,14.1391
429_CLpolished.001,0.1616111,13.65153
429_CLpolished.001,0.159329,13.1622
429_CLpolished.001,0.1569295,12.6731
429_CLpolished.001,0.1541514,12.18612
429_CLpolished.001,0.1513886,11.69772
429_CLpolished.001,0.1487889,11.20822
429_CLpolished.001,0.1463459,10.71947
429_CLpolished.001,0.1438941,10.23201
429_CLpolished.001,0.1413053,9.74098
429_CLpolished.001,0.1389558,9.253115
429_CLpolished.001,0.1364866,8.762549
429_CLpolished.001,0.1339239,8.274625
429_CLpolished.001,0.1312611,7.785409
429_CLpolished.001,0.1285331,7.295724
429_CLpolished.001,0.1258008,6.806803
429_CLpolished.001,0.122977,6.317705
429_CLpolished.001,0.1199487,5.830251
429_CLpolished.001,0.1167791,5.340919
429_CLpolished.001,0.1135485,4.852584
429_CLpolished.001,0.1100525,4.363251
429_CLpolished.001,0.1066284,3.8738
429_CLpolished.001,0.1032389,3.38523
429_CLpolished.001,0.09935144,2.897542
429_CLpolished.001,0.09573577,2.408269
429_CLpolished.001,0.09186122,1.917702
429_CLpolished.001,0.08734499,1.428429
429_CLpolished.001,0.08259596,0.9402114
429_CLpolished.001,0.07668082,0.4517577
429_CLpolished.002,-0.0001805502,0.05800406
429_CLpolished.002,0.01353137,0.5569654
429_CLpolished.002,0.02273581,1.054283
429_CLpolished.002,0.03114182,1.553303
429_CLpolished.002,0.03834917,2.052968
429_CLpolished.002,0.04532591,2.551693
429_CLpolished.002,0.0516325,3.051769
429_CLpolished.002,0.05759989,3.550379
429_CLpolished.002,0.06355195,4.048225
429_CLpolished.002,0.06911246,4.54836
429_CLpolished.002,0.07470771,5.045911
429_CLpolished.002,0.07989189,5.546164
429_CLpolished.002,0.0850912,6.042894
429_CLpolished.002,0.09039721,6.541679
429_CLpolished.002,0.09527244,7.039817
429_CLpolished.002,0.1000889,7.538779
429_CLpolished.002,0.1046966,8.038327
429_CLpolished.002,0.109215,8.536467
429_CLpolished.002,0.1136552,9.03619
429_CLpolished.002,0.1179648,9.53521
429_CLpolished.002,0.1220502,10.03505
429_CLpolished.002,0.1259378,10.53413
429_CLpolished.002,0.1301278,11.03233
429_CLpolished.002,0.1338217,11.53094
429_CLpolished.002,0.1376832,12.02978
429_CLpolished.002,0.1414206,12.52698
429_CLpolished.002,0.1449471,13.02618
429_CLpolished.002,0.1487498,13.52496
429_CLpolished.002,0.1522327,14.02327
429_CLpolished.002,0.1559854,14.52229
429_CLpolished.002,0.1592116,15.02131
